AirConditionSwitch_mean,AirConditionSwitch_median,AirConditionSwitch_min,AirConditionSwitch_max,AirConditionSwitch_std,AirConditionSwitch_first,AirConditionSwitch_last,start_ts,AirConditionSwitch_end_ts,AirConditionSwitch_n_events,ClimateAuto_mean,ClimateAuto_median,ClimateAuto_min,ClimateAuto_max,ClimateAuto_std,ClimateAuto_first,ClimateAuto_last,ClimateAuto_end_ts,ClimateAuto_n_events,HeaterSwitch_mean,HeaterSwitch_median,HeaterSwitch_min,HeaterSwitch_max,HeaterSwitch_std,HeaterSwitch_first,HeaterSwitch_last,HeaterSwitch_end_ts,HeaterSwitch_n_events,EVBatteryStateOfCharge_mean,EVBatteryStateOfCharge_median,EVBatteryStateOfCharge_min,EVBatteryStateOfCharge_max,EVBatteryStateOfCharge_std,EVBatteryStateOfCharge_first,EVBatteryStateOfCharge_last,EVBatteryStateOfCharge_end_ts,EVBatteryStateOfCharge_n_events,TargetTemperature_mean,TargetTemperature_median,TargetTemperature_min,TargetTemperature_max,TargetTemperature_std,TargetTemperature_first,TargetTemperature_last,TargetTemperature_end_ts,TargetTemperature_n_events,TemperatureIn_mean,TemperatureIn_median,TemperatureIn_min,TemperatureIn_max,TemperatureIn_std,TemperatureIn_first,TemperatureIn_last,TemperatureIn_end_ts,TemperatureIn_n_events,TemperatureOut_mean,TemperatureOut_median,TemperatureOut_min,TemperatureOut_max,TemperatureOut_std,TemperatureOut_first,TemperatureOut_last,TemperatureOut_end_ts,TemperatureOut_n_events,window_duration,stride,journey_id,user_id,timezone_offset,distance,duration,start_cluster_id,finish_cluster_id
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:32:10.932,2020-07-29 09:37:10.932,84,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:37:10.853,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:37:10.932,84,68.4632,68.3406,68.26,68.7388,0.1813025397204643,68.6921,68.3406,2020-07-29 09:37:17.306,11,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:37:10.925,84,40.55555555555556,40.55555555555556,40.55555555555556,40.55555555555556,0.0,40.55555555555556,40.55555555555556,2020-07-29 09:37:19.661,10,32.22222222222222,32.22222222222222,32.22222222222222,32.22222222222222,0.0,32.22222222222222,32.22222222222222,2020-07-29 09:37:19.971,10,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
,,,,,,,2020-07-29 09:34:40.932,2020-07-29 09:39:40.932,0,,,,,,,,2020-07-29 09:39:40.853,0,,,,,,,,2020-07-29 09:39:40.932,0,,,,,,,,2020-07-29 09:39:47.306,0,,,,,,,,2020-07-29 09:39:40.925,0,,,,,,,,2020-07-29 09:39:49.661,0,,,,,,,,2020-07-29 09:39:49.971,0,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
,,,,,,,2020-07-29 09:37:10.932,2020-07-29 09:42:10.932,0,,,,,,,,2020-07-29 09:42:10.853,0,,,,,,,,2020-07-29 09:42:10.932,0,,,,,,,,2020-07-29 09:42:17.306,0,,,,,,,,2020-07-29 09:42:10.925,0,,,,,,,,2020-07-29 09:42:19.661,0,,,,,,,,2020-07-29 09:42:19.971,0,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:39:40.932,2020-07-29 09:44:40.932,91,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:44:40.853,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:44:40.932,91,66.64701999999998,66.6501,66.1532,67.0351,0.2867104467344484,66.9603,66.1532,2020-07-29 09:44:47.306,15,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:44:40.925,91,41.666666666666664,41.666666666666664,41.666666666666664,41.666666666666664,0.0,41.666666666666664,41.666666666666664,2020-07-29 09:44:49.661,15,33.33333333333333,33.333333333333336,33.333333333333336,33.333333333333336,7.105427357601002e-15,33.333333333333336,33.333333333333336,2020-07-29 09:44:49.971,13,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:42:10.932,2020-07-29 09:47:10.932,205,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:47:10.853,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:47:10.932,205,66.12229333333333,66.1524,65.085,67.0351,0.6127736161277038,66.9603,65.1082,2020-07-29 09:47:17.306,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:47:10.925,203,41.66666666666668,41.666666666666664,41.666666666666664,41.666666666666664,1.4210854715202004e-14,41.666666666666664,41.666666666666664,2020-07-29 09:47:19.661,30,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.0,33.333333333333336,33.333333333333336,2020-07-29 09:47:19.971,28,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:44:40.932,2020-07-29 09:49:40.932,228,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:49:40.853,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:49:40.932,228,65.06606333333333,65.06395,64.1091,66.1516,0.6423284785234292,66.1516,64.1238,2020-07-29 09:49:47.306,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:49:40.925,226,41.87037037037036,41.666666666666664,41.666666666666664,42.22222222222222,0.26771911657038894,41.666666666666664,42.22222222222222,2020-07-29 09:49:49.661,30,33.52490421455939,33.333333333333336,33.333333333333336,33.888888888888886,0.2640622366300783,33.333333333333336,33.888888888888886,2020-07-29 09:49:49.971,29,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:47:10.932,2020-07-29 09:52:10.932,227,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:52:10.853,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:52:10.932,227,64.25471724137931,64.1091,63.7147,65.0429,0.4042730718206278,65.0429,63.8271,2020-07-29 09:52:17.306,29,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:52:10.925,227,42.31800766283524,42.22222222222222,41.666666666666664,42.77777777777778,0.3594188321703788,41.666666666666664,42.22222222222222,2020-07-29 09:52:19.661,29,33.98809523809524,33.888888888888886,33.333333333333336,34.44444444444444,0.3653165206254351,33.333333333333336,33.888888888888886,2020-07-29 09:52:19.971,28,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:49:40.932,2020-07-29 09:54:40.932,226,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:54:40.853,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:54:40.932,226,63.58831333333334,63.662549999999996,62.837,64.1053,0.40730807728575896,64.1053,62.8631,2020-07-29 09:54:47.306,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:54:40.925,226,42.16666666666668,42.22222222222222,41.666666666666664,42.77777777777778,0.4614791034954499,42.22222222222222,41.666666666666664,2020-07-29 09:54:49.661,30,33.83141762452107,33.888888888888886,33.333333333333336,34.44444444444444,0.469250908579151,33.888888888888886,33.333333333333336,2020-07-29 09:54:49.971,29,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:52:10.932,2020-07-29 09:57:10.932,140,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:57:10.853,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:57:10.932,140,63.214483333333334,63.35865,62.77,63.809,0.30558507317021216,63.809,62.77,2020-07-29 09:57:17.306,18,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:57:10.925,140,41.79012345679012,41.666666666666664,41.666666666666664,42.22222222222222,0.2309665053564168,42.22222222222222,41.666666666666664,2020-07-29 09:57:19.661,18,33.43137254901961,33.333333333333336,33.333333333333336,33.888888888888886,0.21178891171267308,33.888888888888886,33.333333333333336,2020-07-29 09:57:19.971,17,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:54:40.932,2020-07-29 09:59:40.932,27,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 09:59:40.853,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 09:59:40.932,27,62.78985,62.78985,62.77,62.8097,0.019849999999998147,62.8097,62.77,2020-07-29 09:59:47.306,2,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 09:59:40.925,27,41.666666666666664,41.666666666666664,41.666666666666664,41.666666666666664,0.0,41.666666666666664,41.666666666666664,2020-07-29 09:59:49.661,2,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.0,33.333333333333336,33.333333333333336,2020-07-29 09:59:49.971,2,300s,150s,1596015130600,64999946,43200000,5.389706425327687,22.821716666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:07:17.317,2020-07-29 11:12:17.317,224,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:12:17.331,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:12:17.317,224,53.38242258064517,53.4478,52.7919,53.6218,0.21290816695146003,53.4534,52.7919,2020-07-29 11:12:14.739,31,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:12:17.228,224,43.47670250896057,43.333333333333336,42.77777777777778,43.888888888888886,0.34472014447439486,43.333333333333336,42.77777777777778,2020-07-29 11:12:17.189,31,35.11494252873564,35.0,34.44444444444444,35.55555555555556,0.3684939475415977,35.0,34.44444444444444,2020-07-29 11:12:24.187,29,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:09:47.317,2020-07-29 11:14:47.317,221,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:14:47.331,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:14:47.317,221,53.047448275862074,53.0021,52.6477,53.5585,0.29724246879550725,53.5096,52.6807,2020-07-29 11:14:44.739,29,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:14:47.228,222,42.892720306513404,42.77777777777778,42.22222222222222,43.888888888888886,0.6254723263338889,43.888888888888886,42.22222222222222,2020-07-29 11:14:47.189,29,34.48412698412699,34.44444444444444,33.888888888888886,35.55555555555556,0.610904933267488,35.55555555555556,33.888888888888886,2020-07-29 11:14:54.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:12:17.317,2020-07-29 11:17:17.317,223,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:17:17.331,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:17:17.317,223,52.924899999999994,52.9568,52.5769,53.2702,0.20305074106802928,52.8781,53.1736,2020-07-29 11:17:14.739,29,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:17:17.228,223,42.27969348659003,42.22222222222222,42.22222222222222,42.77777777777778,0.16919082119402054,42.77777777777778,42.22222222222222,2020-07-29 11:17:17.189,29,33.92857142857143,33.888888888888886,33.888888888888886,34.44444444444444,0.1430774315660317,34.44444444444444,33.888888888888886,2020-07-29 11:17:24.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:14:47.317,2020-07-29 11:19:47.317,225,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:19:47.331,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:19:47.317,225,53.028083333333335,53.06035,52.5769,53.2788,0.1849427011866708,52.7735,53.2788,2020-07-29 11:19:44.739,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:19:47.228,225,42.351851851851855,42.22222222222222,42.22222222222222,42.77777777777778,0.23497365815647323,42.22222222222222,42.77777777777778,2020-07-29 11:19:47.189,30,34.047619047619044,33.888888888888886,33.888888888888886,34.44444444444444,0.2509744174736816,33.888888888888886,34.44444444444444,2020-07-29 11:19:54.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:17:17.317,2020-07-29 11:22:17.317,224,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:22:17.331,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:22:17.317,224,53.55855666666666,53.2788,52.6759,54.6694,0.6026777467731456,53.1827,54.6694,2020-07-29 11:22:14.739,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:22:17.228,223,42.462962962962955,42.22222222222222,42.22222222222222,42.77777777777778,0.2752975693947879,42.22222222222222,42.22222222222222,2020-07-29 11:22:17.189,30,34.1468253968254,33.888888888888886,33.888888888888886,34.44444444444444,0.2770682548366861,33.888888888888886,33.888888888888886,2020-07-29 11:22:24.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:19:47.317,2020-07-29 11:24:47.317,223,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:24:47.331,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:24:47.317,223,54.387589999999996,54.49215,53.2788,54.8572,0.41466387701366036,53.2788,54.484,2020-07-29 11:24:44.739,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:24:47.228,222,42.33333333333333,42.22222222222222,42.22222222222222,42.77777777777778,0.22222222222222285,42.77777777777778,42.22222222222222,2020-07-29 11:24:47.189,30,33.98809523809524,33.888888888888886,33.888888888888886,34.44444444444444,0.21277391457864364,34.44444444444444,33.888888888888886,2020-07-29 11:24:54.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:22:17.317,2020-07-29 11:27:17.317,222,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:27:17.331,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:27:17.317,222,54.492976666666664,54.54245,53.9817,54.8572,0.26077129147119615,54.7116,53.9817,2020-07-29 11:27:14.739,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:27:17.228,222,42.22222222222221,42.22222222222222,42.22222222222222,42.22222222222222,1.4210854715202004e-14,42.22222222222222,42.22222222222222,2020-07-29 11:27:17.189,30,33.88888888888889,33.888888888888886,33.888888888888886,33.888888888888886,7.105427357601002e-15,33.888888888888886,33.888888888888886,2020-07-29 11:27:24.187,28,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:24:47.317,2020-07-29 11:29:47.317,223,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:29:47.331,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:29:47.317,223,53.94418333333333,53.9633,53.3264,54.5844,0.3995803098947144,54.4958,53.3264,2020-07-29 11:29:44.739,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:29:47.228,223,42.22222222222221,42.22222222222222,42.22222222222222,42.22222222222222,1.4210854715202004e-14,42.22222222222222,42.22222222222222,2020-07-29 11:29:47.189,30,33.88888888888889,33.888888888888886,33.888888888888886,33.888888888888886,7.105427357601002e-15,33.888888888888886,33.888888888888886,2020-07-29 11:29:54.187,29,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:27:17.317,2020-07-29 11:32:17.317,117,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:32:17.331,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:32:17.317,117,53.5918,53.6461,53.3264,53.9449,0.16605499892104006,53.9449,53.3264,2020-07-29 11:32:14.739,15,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:32:17.228,117,42.222222222222214,42.22222222222222,42.22222222222222,42.22222222222222,7.105427357601002e-15,42.22222222222222,42.22222222222222,2020-07-29 11:32:17.189,15,33.8888888888889,33.888888888888886,33.888888888888886,33.888888888888886,1.4210854715202004e-14,33.888888888888886,33.888888888888886,2020-07-29 11:32:24.187,15,300s,150s,1596020834000,64999946,43200000,8.419434110812041,22.55571666666667,,
